,year,unitid,institution_name,city_txt,state_cd,zip_text,classification_code,classification_name,ef_male_count,ef_female_count,ef_total_count,sector_cd,sector_name,sportscode,sum_partic_men,sum_partic_women,rev_men,rev_women,total_rev_menwomen,exp_men,exp_women,total_exp_menwomen,sports
14628,2015,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1447,2120,3567,2,"Private nonprofit, 4-year or above",7,117,0,3388489,NA,3388489,3388489,NA,3388489,Football
32097,2016,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1465,2085,3550,2,"Private nonprofit, 4-year or above",7,114,0,3867984,NA,3867984,3867984,NA,3867984,Football
49616,2017,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1455,2053,3508,2,"Private nonprofit, 4-year or above",7,140,0,4811820,NA,4811820,4811820,NA,4811820,Football
67386,2018,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1351,2046,3397,2,"Private nonprofit, 4-year or above",7,149,0,4852160,NA,4852160,4852160,NA,4852160,Football
121232,2019,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1321,2023,3344,2,"Private nonprofit, 4-year or above",7,132,0,5441419,NA,5441419,5713528,NA,5713528,Football
2150,2015,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,916,828,1744,1,"Public, 4-year or above",7,111,0,915887,NA,915887,915887,NA,915887,Football
19518,2016,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,830,793,1623,1,"Public, 4-year or above",7,105,0,995999,NA,995999,995999,NA,995999,Football
36956,2017,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,766,739,1505,1,"Public, 4-year or above",7,110,0,1117805,NA,1117805,1117805,NA,1117805,Football
54593,2018,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,786,686,1472,1,"Public, 4-year or above",7,110,0,1130112,NA,1130112,1130112,NA,1130112,Football
78087,2019,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,699,653,1352,1,"Public, 4-year or above",7,132,0,1069447,NA,1069447,1069447,NA,1069447,Football
6995,2015,168528,Adrian College,Adrian,MI,492212575,6,NCAA Division III with football,865,743,1608,2,"Private nonprofit, 4-year or above",7,145,0,337096,NA,337096,337096,NA,337096,Football
24387,2016,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,833,771,1604,2,"Private nonprofit, 4-year or above",7,140,0,356940,NA,356940,356940,NA,356940,Football
41885,2017,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,819,787,1606,2,"Private nonprofit, 4-year or above",7,122,0,337417,NA,337417,337417,NA,337417,Football
59578,2018,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,924,826,1750,2,"Private nonprofit, 4-year or above",7,154,0,364478,NA,364478,364478,NA,364478,Football
94592,2019,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,869,854,1723,2,"Private nonprofit, 4-year or above",7,146,0,371721,NA,371721,371721,NA,371721,Football
4,2015,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1923,2300,4223,1,"Public, 4-year or above",7,99,0,2808949,NA,2808949,3059353,NA,3059353,Football
17349,2016,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1801,2410,4211,1,"Public, 4-year or above",7,108,0,2996306,NA,2996306,2996306,NA,2996306,Football
34763,2017,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1900,2608,4508,1,"Public, 4-year or above",7,115,0,3095160,NA,3095160,3095160,NA,3095160,Football
52390,2018,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1899,2798,4697,1,"Public, 4-year or above",7,101,0,6471494,NA,6471494,6378354,NA,6378354,Football
70162,2019,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1951,3024,4975,1,"Public, 4-year or above",7,103,0,4991965,NA,4991965,4991965,NA,4991965,Football
33,2015,100724,Alabama State University,Montgomery,AL,361040271,2,NCAA Division I-FCS,1679,2698,4377,1,"Public, 4-year or above",7,90,0,5131957,NA,5131957,2944115,NA,2944115,Football
17379,2016,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1646,2716,4362,1,"Public, 4-year or above",7,99,0,2982550,NA,2982550,2982550,NA,2982550,Football
34794,2017,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1449,2417,3866,1,"Public, 4-year or above",7,120,0,3227892,NA,3227892,3227892,NA,3227892,Football
52423,2018,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1332,2311,3643,1,"Public, 4-year or above",7,127,0,3622267,NA,3622267,3622267,NA,3622267,Football
70254,2019,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1258,2188,3446,1,"Public, 4-year or above",7,120,0,3508562,NA,3508562,3508562,NA,3508562,Football
3136,2015,138716,Albany State University,Albany,GA,31705,4,NCAA Division II with football,900,1649,2549,1,"Public, 4-year or above",7,93,0,967534,NA,967534,846830,NA,846830,Football
20506,2016,138716,Albany State University,Albany,GA,31705,4,NCAA Division II with football,747,1440,2187,1,"Public, 4-year or above",7,93,0,1122237,NA,1122237,1122237,NA,1122237,Football
37964,2017,138716,Albany State University,Albany,GA,31705,4,NCAA Division II with football,1195,2593,3788,1,"Public, 4-year or above",7,107,0,1249398,NA,1249398,1249398,NA,1249398,Football
55616,2018,138716,Albany State University,Albany,GA,31705,4,NCAA Division II with football,1152,2872,4024,1,"Public, 4-year or above",7,99,0,229371,NA,229371,1160234,NA,1160234,Football
81714,2019,138716,Albany State University,Albany,GA,31705,4,NCAA Division II with football,1112,2864,3976,1,"Public, 4-year or above",7,95,0,310733,NA,310733,942893,NA,942893,Football
7009,2015,168546,Albion College,Albion,MI,49224,6,NCAA Division III with football,677,677,1354,2,"Private nonprofit, 4-year or above",7,115,0,496497,NA,496497,496497,NA,496497,Football
24401,2016,168546,Albion College,Albion,MI,49224,6,NCAA Division III with football,666,718,1384,2,"Private nonprofit, 4-year or above",7,103,0,449284,NA,449284,449284,NA,449284,Football
41900,2017,168546,Albion College,Albion,MI,49224,6,NCAA Division III with football,737,815,1552,2,"Private nonprofit, 4-year or above",7,102,0,509256,NA,509256,509256,NA,509256,Football
59594,2018,168546,Albion College,Albion,MI,49224,6,NCAA Division III with football,689,816,1505,2,"Private nonprofit, 4-year or above",7,102,0,503163,NA,503163,503163,NA,503163,Football
94630,2019,168546,Albion College,Albion,MI,49224,6,NCAA Division III with football,676,772,1448,2,"Private nonprofit, 4-year or above",7,119,0,535905,NA,535905,535905,NA,535905,Football
12514,2015,210571,Albright College,Reading,PA,196125234,6,NCAA Division III with football,880,1339,2219,2,"Private nonprofit, 4-year or above",7,130,0,509615,NA,509615,509615,NA,509615,Football
29963,2016,210571,Albright College,Reading,PA,19612,6,NCAA Division III with football,905,1379,2284,2,"Private nonprofit, 4-year or above",7,145,0,530625,NA,530625,530625,NA,530625,Football
47460,2017,210571,Albright College,Reading,PA,19612,6,NCAA Division III with football,808,1185,1993,2,"Private nonprofit, 4-year or above",7,101,0,516846,NA,516846,516846,NA,516846,Football
65208,2018,210571,Albright College,Reading,PA,19612,6,NCAA Division III with football,753,1134,1887,2,"Private nonprofit, 4-year or above",7,87,0,522959,NA,522959,522959,NA,522959,Football
114170,2019,210571,Albright College,Reading,PA,19612,6,NCAA Division III with football,681,1020,1701,2,"Private nonprofit, 4-year or above",7,78,0,497960,NA,497960,497960,NA,497960,Football
7867,2015,175342,Alcorn State University,Alcorn State,MS,390967500,2,NCAA Division I-FCS,949,1607,2556,1,"Public, 4-year or above",7,100,0,2523806,NA,2523806,2523806,NA,2523806,Football
25281,2016,175342,Alcorn State University,Alcorn State,MS,39096,2,NCAA Division I-FCS,950,1639,2589,1,"Public, 4-year or above",7,91,0,2645152,NA,2645152,2645152,NA,2645152,Football
42782,2017,175342,Alcorn State University,Alcorn State,MS,39096,2,NCAA Division I-FCS,1052,1841,2893,1,"Public, 4-year or above",7,71,0,1975287,NA,1975287,1975287,NA,1975287,Football
60487,2018,175342,Alcorn State University,Alcorn State,MS,39096,2,NCAA Division I-FCS,1029,1815,2844,1,"Public, 4-year or above",7,93,0,2956855,NA,2956855,2956855,NA,2956855,Football
97704,2019,175342,Alcorn State University,Alcorn State,MS,39096,2,NCAA Division I-FCS,939,1704,2643,1,"Public, 4-year or above",7,105,0,2335820,NA,2335820,2335820,NA,2335820,Football
16238,2015,237118,Alderson Broaddus University,Philippi,WV,264162035,4,NCAA Division II with football,573,472,1045,2,"Private nonprofit, 4-year or above",7,183,0,1661023,NA,1661023,1665166,NA,1665166,Football
33712,2016,237118,Alderson Broaddus University,Philippi,WV,26416,4,NCAA Division II with football,517,417,934,2,"Private nonprofit, 4-year or above",7,171,0,1590022,NA,1590022,1557141,NA,1557141,Football
51266,2017,237118,Alderson Broaddus University,Philippi,WV,26416,4,NCAA Division II with football,513,390,903,2,"Private nonprofit, 4-year or above",7,173,0,1521396,NA,1521396,1493429,NA,1493429,Football
69014,2018,237118,Alderson Broaddus University,Philippi,WV,26416,4,NCAA Division II with football,441,350,791,2,"Private nonprofit, 4-year or above",7,158,0,1583302,NA,1583302,1519864,NA,1519864,Football
127881,2019,237118,Alderson Broaddus University,Philippi,WV,26416,4,NCAA Division II with football,463,327,790,2,"Private nonprofit, 4-year or above",7,158,0,1519954,NA,1519954,1519954,NA,1519954,Football
9396,2015,188641,Alfred University,Alfred,NY,148021205,6,NCAA Division III with football,870,860,1730,2,"Private nonprofit, 4-year or above",7,121,0,544570,NA,544570,544570,NA,544570,Football
26814,2016,188641,Alfred University,Alfred,NY,14802,6,NCAA Division III with football,900,800,1700,2,"Private nonprofit, 4-year or above",7,66,0,534410,NA,534410,534410,NA,534410,Football
44306,2017,188641,Alfred University,Alfred,NY,14802,6,NCAA Division III with football,832,754,1586,2,"Private nonprofit, 4-year or above",7,99,0,557346,NA,557346,557346,NA,557346,Football
62029,2018,188641,Alfred University,Alfred,NY,14802,6,NCAA Division III with football,803,761,1564,2,"Private nonprofit, 4-year or above",7,81,0,593414,NA,593414,593414,NA,593414,Football
103388,2019,188641,Alfred University,Alfred,NY,14802,6,NCAA Division III with football,863,776,1639,2,"Private nonprofit, 4-year or above",7,173,0,1213500,NA,1213500,1213500,NA,1213500,Football
12534,2015,210669,Allegheny College,Meadville,PA,163353902,6,NCAA Division III with football,873,1009,1882,2,"Private nonprofit, 4-year or above",7,117,0,594615,NA,594615,594615,NA,594615,Football
29983,2016,210669,Allegheny College,Meadville,PA,16335,6,NCAA Division III with football,889,976,1865,2,"Private nonprofit, 4-year or above",7,122,0,669740,NA,669740,669740,NA,669740,Football
47479,2017,210669,Allegheny College,Meadville,PA,16335,6,NCAA Division III with football,799,949,1748,2,"Private nonprofit, 4-year or above",7,102,0,560875,NA,560875,560875,NA,560875,Football
65228,2018,210669,Allegheny College,Meadville,PA,16335,6,NCAA Division III with football,773,947,1720,2,"Private nonprofit, 4-year or above",7,96,0,607139,NA,607139,607139,NA,607139,Football
114214,2019,210669,Allegheny College,Meadville,PA,16335,6,NCAA Division III with football,759,952,1711,2,"Private nonprofit, 4-year or above",7,81,0,631234,NA,631234,631234,NA,631234,Football
7024,2015,168591,Alma College,Alma,MI,488011599,6,NCAA Division III with football,571,758,1329,2,"Private nonprofit, 4-year or above",7,94,0,525194,NA,525194,525194,NA,525194,Football
24416,2016,168591,Alma College,Alma,MI,48801,6,NCAA Division III with football,598,785,1383,2,"Private nonprofit, 4-year or above",7,125,0,605469,NA,605469,605469,NA,605469,Football
41916,2017,168591,Alma College,Alma,MI,48801,6,NCAA Division III with football,597,784,1381,2,"Private nonprofit, 4-year or above",7,116,0,680236,NA,680236,680236,NA,680236,Football
59611,2018,168591,Alma College,Alma,MI,48801,6,NCAA Division III with football,578,813,1391,2,"Private nonprofit, 4-year or above",7,114,0,630557,NA,630557,630557,NA,630557,Football
94668,2019,168591,Alma College,Alma,MI,48801,6,NCAA Division III with football,587,809,1396,2,"Private nonprofit, 4-year or above",7,129,0,632550,NA,632550,632550,NA,632550,Football
65251,2018,210775,Alvernia University,Reading,PA,19607,6,NCAA Division III with football,565,1125,1690,2,"Private nonprofit, 4-year or above",7,103,0,404847,NA,404847,399869,NA,399869,Football
114290,2019,210775,Alvernia University,Reading,PA,19607,6,NCAA Division III with football,565,1090,1655,2,"Private nonprofit, 4-year or above",7,97,0,348607,NA,348607,342656,NA,342656,Football
6329,2015,164447,American International College,Springfield,MA,1109,4,NCAA Division II with football,571,821,1392,2,"Private nonprofit, 4-year or above",7,105,0,1489931,NA,1489931,1489931,NA,1489931,Football
23712,2016,164447,American International College,Springfield,MA,1109,4,NCAA Division II with football,543,804,1347,2,"Private nonprofit, 4-year or above",7,106,0,1629845,NA,1629845,1629845,NA,1629845,Football
41216,2017,164447,American International College,Springfield,MA,1109,4,NCAA Division II with football,527,727,1254,2,"Private nonprofit, 4-year or above",7,114,0,1465008,NA,1465008,1465008,NA,1465008,Football
58915,2018,164447,American International College,Springfield,MA,1109,4,NCAA Division II with football,456,755,1211,2,"Private nonprofit, 4-year or above",7,111,0,1676834,NA,1676834,1676834,NA,1676834,Football
92849,2019,164447,American International College,Springfield,MA,1109,4,NCAA Division II with football,497,774,1271,2,"Private nonprofit, 4-year or above",7,95,0,1404070,NA,1404070,1404070,NA,1404070,Football
6343,2015,164465,Amherst College,Amherst,MA,10025000,6,NCAA Division III with football,891,904,1795,2,"Private nonprofit, 4-year or above",7,76,0,781039,NA,781039,639614,NA,639614,Football
23726,2016,164465,Amherst College,Amherst,MA,1002,6,NCAA Division III with football,921,925,1846,2,"Private nonprofit, 4-year or above",7,76,0,744860,NA,744860,672870,NA,672870,Football
41229,2017,164465,Amherst College,Amherst,MA,1002,6,NCAA Division III with football,928,907,1835,2,"Private nonprofit, 4-year or above",7,76,0,784821,NA,784821,698572,NA,698572,Football
58928,2018,164465,Amherst College,Amherst,MA,1002,6,NCAA Division III with football,919,936,1855,2,"Private nonprofit, 4-year or above",7,76,0,800369,NA,800369,800369,NA,800369,Football
92865,2019,164465,Amherst College,Amherst,MA,1002,6,NCAA Division III with football,915,924,1839,2,"Private nonprofit, 4-year or above",7,72,0,830773,NA,830773,734800,NA,734800,Football
4314,2015,150066,Anderson University,Anderson,IN,460123495,6,NCAA Division III with football,639,970,1609,2,"Private nonprofit, 4-year or above",7,84,0,286347,NA,286347,282696,NA,282696,Football
21682,2016,150066,Anderson University,Anderson,IN,46012,6,NCAA Division III with football,661,929,1590,2,"Private nonprofit, 4-year or above",7,100,0,329828,NA,329828,324426,NA,324426,Football
39152,2017,150066,Anderson University,Anderson,IN,46012,6,NCAA Division III with football,590,840,1430,2,"Private nonprofit, 4-year or above",7,91,0,346301,NA,346301,346301,NA,346301,Football
56809,2018,150066,Anderson University,Anderson,IN,46012,6,NCAA Division III with football,529,801,1330,2,"Private nonprofit, 4-year or above",7,70,0,391820,NA,391820,376767,NA,376767,Football
85929,2019,150066,Anderson University,Anderson,IN,46012,6,NCAA Division III with football,509,704,1213,2,"Private nonprofit, 4-year or above",7,70,0,373880,NA,373880,361396,NA,361396,Football
14642,2015,222831,Angelo State University,San Angelo,TX,76909,4,NCAA Division II with football,2116,2576,4692,1,"Public, 4-year or above",7,137,0,1463287,NA,1463287,1449577,NA,1449577,Football
32112,2016,222831,Angelo State University,San Angelo,TX,76909,4,NCAA Division II with football,2253,2723,4976,1,"Public, 4-year or above",7,129,0,1643861,NA,1643861,1593605,NA,1593605,Football
49632,2017,222831,Angelo State University,San Angelo,TX,76909,4,NCAA Division II with football,2325,2825,5150,1,"Public, 4-year or above",7,129,0,1488438,NA,1488438,1488438,NA,1488438,Football
67402,2018,222831,Angelo State University,San Angelo,TX,76909,4,NCAA Division II with football,2398,2951,5349,1,"Public, 4-year or above",7,131,0,1777928,NA,1777928,1789527,NA,1789527,Football
121318,2019,222831,Angelo State University,San Angelo,TX,76909,4,NCAA Division II with football,2305,3020,5325,1,"Public, 4-year or above",7,122,0,1617987,NA,1617987,1616447,NA,1616447,Football
6356,2015,164492,Anna Maria College,Paxton,MA,16121198,6,NCAA Division III with football,305,506,811,2,"Private nonprofit, 4-year or above",7,90,0,231286,NA,231286,231286,NA,231286,Football
23739,2016,164492,Anna Maria College,Paxton,MA,1612,6,NCAA Division III with football,271,509,780,2,"Private nonprofit, 4-year or above",7,80,0,261740,NA,261740,261740,NA,261740,Football
41245,2017,164492,Anna Maria College,Paxton,MA,1612,6,NCAA Division III with football,349,517,866,2,"Private nonprofit, 4-year or above",7,95,0,373349,NA,373349,373349,NA,373349,Football
58944,2018,164492,Anna Maria College,Paxton,MA,1612,6,NCAA Division III with football,403,534,937,2,"Private nonprofit, 4-year or above",7,86,0,420384,NA,420384,420384,NA,420384,Football
92903,2019,164492,Anna Maria College,Paxton,MA,1612,6,NCAA Division III with football,421,503,924,2,"Private nonprofit, 4-year or above",7,104,0,382099,NA,382099,382099,NA,382099,Football
10768,2015,197869,Appalachian State University,Boone,NC,28608,1,NCAA Division I-FBS,7083,8184,15267,1,"Public, 4-year or above",7,113,0,6630031,NA,6630031,6630031,NA,6630031,Football
28200,2016,197869,Appalachian State University,Boone,NC,28608,1,NCAA Division I-FBS,6975,8475,15450,1,"Public, 4-year or above",7,110,0,7923498,NA,7923498,7923498,NA,7923498,Football
45698,2017,197869,Appalachian State University,Boone,NC,28608,1,NCAA Division I-FBS,7172,8834,16006,1,"Public, 4-year or above",7,120,0,9247671,NA,9247671,9247671,NA,9247671,Football
63409,2018,197869,Appalachian State University,Boone,NC,28608,1,NCAA Division I-FBS,7211,9146,16357,1,"Public, 4-year or above",7,121,0,9365952,NA,9365952,9365952,NA,9365952,Football
107612,2019,197869,Appalachian State University,Boone,NC,28608,1,NCAA Division I-FBS,7235,9322,16557,1,"Public, 4-year or above",7,130,0,9188013,NA,9188013,9188013,NA,9188013,Football
315,2015,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,21333,16420,37753,1,"Public, 4-year or above",7,125,0,42892151,NA,42892151,26601767,NA,26601767,Football
17657,2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,22020,16741,38761,1,"Public, 4-year or above",7,121,0,43012682,NA,43012682,31371363,NA,31371363,Football
35074,2017,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,21779,16855,38634,1,"Public, 4-year or above",7,125,0,47463786,NA,47463786,50151443,NA,50151443,Football
52702,2018,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,21732,17473,39205,1,"Public, 4-year or above",7,117,0,39007842,NA,39007842,26245544,NA,26245544,Football
71640,2019,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,22447,18511,40958,1,"Public, 4-year or above",7,126,0,49676376,NA,49676376,32000572,NA,32000572,Football
504,2015,106458,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,NCAA Division I-FBS,3163,4059,7222,1,"Public, 4-year or above",7,128,0,6864360,NA,6864360,6864360,NA,6864360,Football
17850,2016,106458,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,NCAA Division I-FBS,3198,4050,7248,1,"Public, 4-year or above",7,118,0,7159248,NA,7159248,7159248,NA,7159248,Football
35278,2017,106458,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,NCAA Division I-FBS,2944,3916,6860,1,"Public, 4-year or above",7,121,0,6518834,NA,6518834,6518834,NA,6518834,Football
52897,2018,106458,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,NCAA Division I-FBS,2869,3889,6758,1,"Public, 4-year or above",7,116,0,7789945,NA,7789945,7789945,NA,7789945,Football
72377,2019,106458,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,NCAA Division I-FBS,2710,3675,6385,1,"Public, 4-year or above",7,123,0,7208166,NA,7208166,7208166,NA,7208166,Football
512,2015,106467,Arkansas Tech University,Russellville,AR,728012222,4,NCAA Division II with football,3353,3688,7041,1,"Public, 4-year or above",7,132,0,1331702,NA,1331702,1331702,NA,1331702,Football
17858,2016,106467,Arkansas Tech University,Russellville,AR,72801,4,NCAA Division II with football,3192,3581,6773,1,"Public, 4-year or above",7,134,0,1341806,NA,1341806,1341806,NA,1341806,Football
35286,2017,106467,Arkansas Tech University,Russellville,AR,72801,4,NCAA Division II with football,3208,3490,6698,1,"Public, 4-year or above",7,134,0,1414623,NA,1414623,1394937,NA,1394937,Football
52905,2018,106467,Arkansas Tech University,Russellville,AR,72801,4,NCAA Division II with football,3027,3338,6365,1,"Public, 4-year or above",7,126,0,1442222,NA,1442222,1417996,NA,1417996,Football
72389,2019,106467,Arkansas Tech University,Russellville,AR,72801,4,NCAA Division II with football,3104,3444,6548,1,"Public, 4-year or above",7,153,0,1453855,NA,1453855,1453855,NA,1453855,Football
11407,2015,201104,Ashland University,Ashland,OH,44805,4,NCAA Division II with football,955,1540,2495,2,"Private nonprofit, 4-year or above",7,176,0,1829356,NA,1829356,1829356,NA,1829356,Football
28844,2016,201104,Ashland University,Ashland,OH,44805,4,NCAA Division II with football,1614,1648,3262,2,"Private nonprofit, 4-year or above",7,173,0,1995180,NA,1995180,1995180,NA,1995180,Football
46345,2017,201104,Ashland University,Ashland,OH,44805,4,NCAA Division II with football,1555,1673,3228,2,"Private nonprofit, 4-year or above",7,134,0,1940723,NA,1940723,1940723,NA,1940723,Football
64066,2018,201104,Ashland University,Ashland,OH,44805,4,NCAA Division II with football,1580,1744,3324,2,"Private nonprofit, 4-year or above",7,163,0,2018271,NA,2018271,2018271,NA,2018271,Football
110147,2019,201104,Ashland University,Ashland,OH,44805,4,NCAA Division II with football,1099,1499,2598,2,"Private nonprofit, 4-year or above",7,123,0,2079102,NA,2079102,2079102,NA,2079102,Football
6367,2015,164562,Assumption College,Worcester,MA,16091296,4,NCAA Division II with football,809,1195,2004,2,"Private nonprofit, 4-year or above",7,96,0,1077962,NA,1077962,1025929,NA,1025929,Football
23750,2016,164562,Assumption College,Worcester,MA,1609,4,NCAA Division II with football,828,1154,1982,2,"Private nonprofit, 4-year or above",7,101,0,1210521,NA,1210521,1124075,NA,1124075,Football
41255,2017,164562,Assumption College,Worcester,MA,1609,4,NCAA Division II with football,821,1115,1936,2,"Private nonprofit, 4-year or above",7,104,0,1255151,NA,1255151,1181750,NA,1181750,Football
58954,2018,164562,Assumption College,Worcester,MA,1609,4,NCAA Division II with football,832,1098,1930,2,"Private nonprofit, 4-year or above",7,99,0,1114929,NA,1114929,1058325,NA,1058325,Football
92939,2019,164562,Assumption College,Worcester,MA,1609,4,NCAA Division II with football,847,1099,1946,2,"Private nonprofit, 4-year or above",7,102,0,1199725,NA,1199725,1163253,NA,1163253,Football
65,2015,100858,Auburn University,Auburn University,AL,36849,1,NCAA Division I-FBS,9792,9833,19625,1,"Public, 4-year or above",7,121,0,92537433,NA,92537433,41896336,NA,41896336,Football
17412,2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,10026,10234,20260,1,"Public, 4-year or above",7,120,0,91652926,NA,91652926,42825220,NA,42825220,Football
34827,2017,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,10584,10848,21432,1,"Public, 4-year or above",7,110,0,93562715,NA,93562715,43605320,NA,43605320,Football
52456,2018,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,11183,11053,22236,1,"Public, 4-year or above",7,122,0,95157216,NA,95157216,47846261,NA,47846261,Football
70406,2019,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,11379,10985,22364,1,"Public, 4-year or above",7,122,0,97665511,NA,97665511,45953519,NA,45953519,Football
7472,2015,173045,Augsburg College,Minneapolis,MN,55454,6,NCAA Division III with football,985,979,1964,2,"Private nonprofit, 4-year or above",7,100,0,388794,NA,388794,388794,NA,388794,Football
24884,2016,173045,Augsburg College,Minneapolis,MN,55454,6,NCAA Division III with football,1012,1050,2062,2,"Private nonprofit, 4-year or above",7,95,0,362897,NA,362897,362897,NA,362897,Football
42384,2017,173045,Augsburg University,Minneapolis,MN,55454,6,NCAA Division III with football,969,1060,2029,2,"Private nonprofit, 4-year or above",7,85,0,386353,NA,386353,386353,NA,386353,Football
60087,2018,173045,Augsburg University,Minneapolis,MN,55454,6,NCAA Division III with football,944,1039,1983,2,"Private nonprofit, 4-year or above",7,82,0,488645,NA,488645,488645,NA,488645,Football
96407,2019,173045,Augsburg University,Minneapolis,MN,55454,6,NCAA Division III with football,974,1192,2166,2,"Private nonprofit, 4-year or above",7,72,0,527748,NA,527748,527748,NA,527748,Football
3591,2015,143084,Augustana College,Rock Island,IL,612012296,6,NCAA Division III with football,1030,1413,2443,2,"Private nonprofit, 4-year or above",7,117,0,584441,NA,584441,584441,NA,584441,Football
20961,2016,143084,Augustana College,Rock Island,IL,61201,6,NCAA Division III with football,1074,1440,2514,2,"Private nonprofit, 4-year or above",7,127,0,592355,NA,592355,592355,NA,592355,Football
38418,2017,143084,Augustana College,Rock Island,IL,61201,6,NCAA Division III with football,1110,1516,2626,2,"Private nonprofit, 4-year or above",7,115,0,587307,NA,587307,587307,NA,587307,Football
56071,2018,143084,Augustana College,Rock Island,IL,61201,6,NCAA Division III with football,1094,1429,2523,2,"Private nonprofit, 4-year or above",7,109,0,793936,NA,793936,793936,NA,793936,Football
83154,2019,143084,Augustana College,Rock Island,IL,61201,6,NCAA Division III with football,1102,1421,2523,2,"Private nonprofit, 4-year or above",7,127,0,600309,NA,600309,600309,NA,600309,Football
14181,2015,219000,Augustana University,Sioux Falls,SD,571970001,4,NCAA Division II with football,602,894,1496,2,"Private nonprofit, 4-year or above",7,103,0,1804263,NA,1804263,1804263,NA,1804263,Football
31639,2016,219000,Augustana University,Sioux Falls,SD,57197,4,NCAA Division II with football,617,936,1553,2,"Private nonprofit, 4-year or above",7,107,0,1902480,NA,1902480,1902480,NA,1902480,Football
49155,2017,219000,Augustana University,Sioux Falls,SD,57197,4,NCAA Division II with football,631,1028,1659,2,"Private nonprofit, 4-year or above",7,103,0,1918492,NA,1918492,1918492,NA,1918492,Football
66918,2018,219000,Augustana University,Sioux Falls,SD,57197,4,NCAA Division II with football,621,1078,1699,2,"Private nonprofit, 4-year or above",7,103,0,2146448,NA,2146448,2146448,NA,2146448,Football
119529,2019,219000,Augustana University,Sioux Falls,SD,57197,4,NCAA Division II with football,618,1092,1710,2,"Private nonprofit, 4-year or above",7,100,0,2119481,NA,2119481,2119481,NA,2119481,Football
3602,2015,143118,Aurora University,Aurora,IL,605064892,6,NCAA Division III with football,1174,1958,3132,2,"Private nonprofit, 4-year or above",7,110,0,497065,NA,497065,495990,NA,495990,Football
20972,2016,143118,Aurora University,Aurora,IL,60506,6,NCAA Division III with football,1218,2084,3302,2,"Private nonprofit, 4-year or above",7,111,0,501877,NA,501877,497877,NA,497877,Football
38430,2017,143118,Aurora University,Aurora,IL,60506,6,NCAA Division III with football,1278,2183,3461,2,"Private nonprofit, 4-year or above",7,150,0,500065,NA,500065,499245,NA,499245,Football
56083,2018,143118,Aurora University,Aurora,IL,60506,6,NCAA Division III with football,1268,2269,3537,2,"Private nonprofit, 4-year or above",7,102,0,567636,NA,567636,567636,NA,567636,Football
83192,2019,143118,Aurora University,Aurora,IL,60506,6,NCAA Division III with football,1303,2376,3679,2,"Private nonprofit, 4-year or above",7,109,0,578468,NA,578468,573385,NA,573385,Football
14653,2015,222983,Austin College,Sherman,TX,750904400,6,NCAA Division III with football,585,640,1225,2,"Private nonprofit, 4-year or above",7,100,0,353334,NA,353334,353334,NA,353334,Football
